iter	Passed	Remaining
746	3782	1281
747	3785	1275
748	3788	1269
749	3789	1263
750	3791	1257
751	3796	1251
752	3797	1245
753	3799	1239
754	3801	1233
755	3803	1227
756	3805	1221
757	3809	1216
758	3811	1210
759	3814	1204
760	3816	1198
761	3818	1192
762	3821	1186
763	3825	1181
764	3827	1175
765	3829	1169
766	3831	1164
767	3833	1158
768	3835	1152
769	3837	1146
770	3842	1141
771	3843	1135
772	3847	1129
773	3849	1123
774	3851	1118
775	3853	1112
776	3857	1106
777	3859	1101
778	3861	1095
779	3865	1090
780	3867	1084
781	3869	1078
782	3871	1072
783	3873	1067
784	3874	1061
785	3876	1055
786	3879	1050
787	3886	1045
788	3889	1040
789	3891	1034
790	3897	1029
791	3904	1025
792	3908	1020
793	3910	1014
794	3912	1008
795	3913	1003
796	3920	998
797	3922	993
798	3925	987
799	3927	981
800	3933	977
801	3938	972
802	3940	966
803	3942	961
804	3944	955
805	3950	950
806	3958	946
807	3961	941
808	3971	937
809	3976	932
810	3988	929
811	3990	923
812	3992	918
813	4009	916
814	4018	912
815	4023	907
816	4028	902
817	4033	897
818	4035	891
819	4037	886
820	4039	880
821	4048	876
822	4051	871
823	4055	866
824	4061	861
825	4064	856
826	4068	851
827	4070	845
828	4074	840
829	4077	835
830	4080	829
831	4082	824
832	4083	818
833	4086	813
834	4090	808
835	4098	803
836	4112	800
837	4117	795
838	4127	792
839	4139	788
840	4145	783
841	4150	778
842	4161	775
843	4164	769
844	4167	764
845	4172	759
846	4175	754
847	4177	748
848	4184	744
849	4187	739
850	4189	733
851	4197	729
852	4203	724
853	4205	718
854	4207	713
855	4211	708
856	4221	704
857	4223	699
858	4230	694
859	4236	689
860	4239	684
861	4245	679
862	4251	674
863	4252	669
864	4255	664
865	4262	659
866	4266	654
867	4269	649
868	4275	644
869	4281	639
870	4284	634
871	4286	629
872	4294	624
873	4300	619
874	4302	614
875	4304	609
876	4311	604
877	4317	599
878	4321	594
879	4328	590
880	4331	585
881	4333	579
882	4337	574
883	4339	569
884	4340	564
885	4342	558
886	4343	553
887	4345	548
888	4347	542
889	4351	537
890	4353	532
891	4356	527
892	4358	522
893	4360	516
894	4362	511
895	4365	506
896	4368	501
897	4370	496
898	4371	491
899	4374	486
900	4376	480
901	4378	475
902	4381	470
903	4383	465
904	4384	460
905	4386	455
906	4388	449
907	4392	445
908	4399	440
909	4403	435
910	4405	430
911	4411	425
912	4413	420
913	4421	415
914	4427	411
915	4433	406
916	4434	401
917	4437	396
918	4439	391
919	4443	386
920	4447	381
921	4451	376
922	4454	371
923	4458	366
924	4462	361
925	4464	356
926	4465	351
927	4467	346
928	4469	341
929	4473	336
930	4475	331
931	4477	326
932	4479	321
933	4481	316
934	4482	311
935	4484	306
936	4485	301
937	4489	296
938	4491	291
939	4493	286
940	4496	281
941	4498	276
942	4500	272
943	4504	267
944	4506	262
945	4508	257
946	4509	252
947	4511	247
948	4513	242
949	4515	237
950	4519	232
951	4521	227
952	4523	223
953	4525	218
954	4526	213
955	4529	208
956	4533	203
957	4535	198
958	4537	194
959	4539	189
960	4541	184
961	4543	179
962	4545	174
963	4548	169
964	4550	165
965	4553	160
966	4554	155
967	4555	150
968	4558	145
969	4559	141
970	4561	136
971	4566	131
972	4567	126
973	4569	121
974	4571	117
975	4573	112
976	4574	107
977	4579	103
978	4581	98
979	4584	93
980	4586	88
981	4587	84
982	4589	79
983	4591	74
984	4595	69
985	4598	65
986	4602	60
987	4605	55
988	4607	51
989	4610	46
990	4613	41
991	4616	37
992	4618	32
993	4621	27
994	4625	23
995	4628	18
996	4630	13
997	4632	9
998	4634	4
999	4638	0
